Time      ECG     TEB
0.005     456     14.811
0.01     486     14.811
0.015     511     14.8198
0.02     493     14.8023
0.025     463     14.7952
0.03     482     14.8127
0.035     513     14.8023
0.04     500     14.8127
0.045     469     14.8251
0.05     493     14.8286
0.055     520     14.8374
0.06     499     14.8269
0.065     472     14.8234
0.07     489     14.8303
0.075     522     14.8303
0.08     499     14.832
0.085     471     14.8391
0.09     489     14.8426
0.095     524     14.8479
0.1     497     14.8462
0.105     454     14.8426
0.11     480     14.8391
0.115     507     14.8408
0.12     486     14.8548
0.125     455     14.8813
0.13     477     14.86
0.135     510     14.8707
0.14     488     14.8707
0.145     459     14.8619
0.15     476     14.8619
0.155     511     14.8742
0.16     489     14.8742
0.165     460     14.8654
0.17     482     14.8707
0.175     516     14.869
0.18     488     14.8654
0.185     458     14.8549
0.19     486     14.8533
0.195     510     14.8549
0.2     492     14.8602
0.205     455     14.8619
0.21     483     14.8654
0.215     529     14.8707
0.22     537     14.8707
0.225     548     14.8583
0.23     652     14.8671
0.235     748     14.8619
0.24     735     14.8514
0.245     630     14.8549
0.25     600     14.8566
0.255     581     14.8583
0.26     517     14.8583
0.265     472     14.8636
0.27     496     14.8636
0.275     528     14.8583
0.28     498     14.8671
0.285     470     14.8654
0.29     492     14.8619
0.295     516     14.869
0.3     488     14.8742
0.305     463     14.8935
0.31     492     14.8882
0.315     516     14.8707
0.32     493     14.8759
0.325     463     14.8707
0.33     486     14.8742
0.335     516     14.8742
0.34     493     14.8794
0.345     464     14.897
0.35     487     14.8899
0.355     516     14.8847
0.36     490     14.8847
0.365     464     14.8671
0.37     491     14.8619
0.375     516     14.8671
0.38     489     14.8794
0.385     463     14.8707
0.39     492     14.8864
0.395     518     14.8759
0.4     493     14.8759
0.405     469     14.8707
0.41     495     14.869
0.415     517     14.8671
0.42     501     14.8759
0.425     472     14.8847
0.43     502     14.8918
0.435     528     14.8864
0.44     508     14.8847
0.445     483     14.883
0.45     503     14.8742
0.455     539     14.8865
0.46     513     14.8864
0.465     487     14.8794
0.47     519     14.897
0.475     556     14.8935
0.48     532     14.9075
0.485     510     14.911
0.49     541     14.9058
0.495     575     14.9005
0.5     553     14.9093
0.505     525     14.9005
0.51     555     14.8953
0.515     579     14.9005
0.52     552     14.9093
0.525     522     14.9162
0.53     547     14.9005
0.535     570     14.8935
0.54     533     14.9075
0.545     499     14.8987
0.55     520     14.8987
0.555     543     14.9039
0.56     504     14.9022
0.565     479     14.9092
0.57     502     14.9144
0.575     521     14.9196
0.58     490     14.9127
0.585     470     14.9075
0.59     494     14.9022
0.595     517     14.8918
0.6     489     14.8847
0.605     463     14.883
0.61     491     14.8882
0.615     515     14.8882
0.62     489     14.8899
0.625     463     14.8987
0.63     491     14.8935
0.635     517     14.897
0.64     488     14.8899
0.645     462     14.8987
0.65     488     14.897
0.655     516     14.8882
0.66     484     14.8811
0.665     466     14.8794
0.67     497     14.8759
0.675     511     14.8707
0.68     482     14.8742
0.685     462     14.869
0.69     491     14.869
0.695     511     14.8777
0.7     488     14.869
0.705     462     14.8654
0.71     490     14.8724
0.715     512     14.8619
0.72     484     14.8583
0.725     462     14.8653
0.73     491     14.8548
0.735     514     14.8724
0.74     479     14.8828
0.745     460     14.8935
0.75     489     14.8882
0.755     520     14.8918
0.76     485     14.8847
0.765     462     14.8794
0.77     490     14.8899
0.775     512     14.8811
0.78     483     14.8776
0.785     460     14.8864
