Time      ECG     TEB
0.005     455     9.8282
0.01     529     13.9673
0.015     592     13.0103
0.02     569     11.3934
0.025     533     10.8094
0.03     540     10.7714
0.035     582     11.0774
0.04     562     11.5602
0.045     519     12.1754
0.05     524     12.8308
0.055     568     13.4459
0.06     540     13.9252
0.065     494     13.9287
0.07     498     13.9182
0.075     531     13.9217
0.08     506     13.9182
0.085     465     13.9305
0.09     481     13.9358
0.095     513     13.9358
0.1     502     13.9393
0.105     468     13.9375
0.11     477     13.9393
0.115     518     13.9358
0.12     504     13.9305
0.125     466     13.9322
0.13     481     13.9305
0.135     519     13.9445
0.14     508     13.941
0.145     480     13.9533
0.15     481     13.9533
0.155     510     13.9481
0.16     498     13.9428
0.165     478     13.9481
0.17     514     13.9516
0.175     601     13.9428
0.18     655     13.9411
0.185     688     13.9516
0.19     739     13.9533
0.195     716     13.9464
0.2     645     13.9393
0.205     558     13.9393
0.21     526     13.934
0.215     536     13.9358
0.22     517     13.9305
0.225     475     13.9445
0.23     492     13.9481
0.235     529     13.9498
0.24     508     13.9498
0.245     473     13.9533
0.25     484     13.9428
0.255     511     13.9358
0.26     506     13.92
0.265     468     13.92
0.27     486     13.9236
0.275     525     13.9288
0.28     508     13.9288
0.285     470     13.934
0.29     485     13.9428
0.295     523     13.9481
0.3     505     13.9516
0.305     466     13.9516
0.31     485     13.9604
0.315     521     13.9604
0.32     519     13.9481
0.325     467     13.9481
0.33     487     13.9481
0.335     526     13.9481
0.34     508     13.9428
0.345     473     13.9428
0.35     486     13.9551
0.355     525     13.9447
0.36     512     13.9551
0.365     475     13.9499
0.37     494     13.9464
0.375     529     13.9481
0.38     515     13.9464
0.385     486     13.9358
0.39     503     13.934
0.395     536     13.9358
0.4     527     13.9393
0.405     488     13.9481
0.41     503     13.9621
0.415     547     13.9692
0.42     539     13.9727
0.425     507     13.9727
0.43     523     13.9692
0.435     563     13.9656
0.44     555     13.9709
0.445     520     13.9761
0.45     541     13.9796
0.455     583     13.9744
0.46     567     13.9832
0.465     536     13.9779
0.47     549     13.9779
0.475     585     13.9709
0.48     567     13.9761
0.485     524     13.9849
0.49     533     13.9866
0.495     569     13.9954
0.5     543     13.9972
0.505     496     14.006
0.51     508     13.9972
0.515     539     13.9937
0.52     522     13.9955
0.525     485     14.0007
0.53     494     13.9972
0.535     536     13.9972
0.54     514     13.992
0.545     474     13.9955
0.55     493     13.9815
0.555     529     13.9727
0.56     517     13.985
0.565     479     13.9779
0.57     494     13.9779
0.575     529     13.9744
0.58     515     13.9779
0.585     476     13.9884
0.59     490     13.9761
0.595     530     13.9796
0.6     512     13.9692
0.605     470     13.9639
0.61     492     13.9587
0.615     530     13.9604
0.62     517     13.9568
0.625     476     13.9656
0.63     491     13.9656
0.635     528     13.9621
0.64     517     13.9673
0.645     478     13.9621
0.65     491     13.9604
0.655     532     13.9639
0.66     510     13.9639
0.665     469     13.9779
0.67     487     13.9832
0.675     527     13.9779
0.68     512     13.9744
0.685     467     13.9744
0.69     488     13.9656
0.695     528     13.9692
0.7     512     13.9604
0.705     473     13.9727
0.71     486     13.9832
0.715     520     13.9832
0.72     510     13.9761
0.725     472     13.9692
0.73     488     13.9533
0.735     525     13.9428
0.74     511     13.9481
0.745     472     13.9621
0.75     485     13.9568
0.755     521     13.9533
0.76     513     13.9621
0.765     472     13.9568
0.77     488     13.9516
0.775     523     13.9464
0.78     503     13.9428
0.785     463     13.9551
0.79     480     13.9656
0.795     523     13.9604
0.8     506     13.9568
0.805     467     13.9604
