Time      ECG     TEB
0.005     511     13.8112
0.01     399     21.8035
0.015     432     18.6697
0.02     442     15.7133
0.025     452     14.7859
0.03     463     14.6907
0.035     464     15.1226
0.04     455     15.8664
0.045     472     16.8082
0.05     478     17.6797
0.055     479     18.8279
0.06     479     19.8277
0.065     483     20.6788
0.07     492     21.4192
0.075     500     21.7476
0.08     511     21.7545
0.085     524     21.8019
0.09     515     21.8296
0.095     506     21.8891
0.1     497     21.8281
0.105     512     21.863
0.11     513     21.87
0.115     512     21.8736
0.12     522     21.8823
0.125     525     21.9176
0.13     528     21.9172
0.135     530     21.9418
0.14     528     21.9505
0.145     532     21.975
0.15     516     22.0186
0.155     511     21.996
0.16     520     22.0083
0.165     513     21.9979
0.17     504     22.0223
0.175     504     22.0171
0.18     504     22.0277
0.185     487     22.0381
0.19     500     22.0486
0.195     500     22.0346
0.2     509     22.0275
0.205     505     22.0363
0.21     511     22.0135
0.215     510     22.0187
0.22     510     22.0223
0.225     496     22.0152
0.23     500     22.031
0.235     494     22.0432
0.24     484     22.0432
0.245     484     22.0467
0.25     467     22.0263
0.255     479     22.0327
0.26     484     22.01
0.265     484     22.0031
0.27     479     22.0031
0.275     480     22.0083
0.28     475     22.0187
0.285     479     21.9285
0.29     487     22.024
0.295     490     22.0223
0.3     481     22.0152
0.305     488     22.0152
0.31     488     22.0135
0.315     485     22.01
0.32     500     21.9943
0.325     484     21.9623
0.33     481     21.9802
0.335     491     21.9574
0.34     495     21.961
0.345     496     21.9435
0.35     509     21.9278
0.355     503     21.9314
0.36     495     21.9297
0.365     496     21.9174
0.37     489     21.9103
0.375     496     21.8961
0.38     488     21.8928
0.385     488     21.8559
0.39     488     21.8348
0.395     479     21.8348
0.4     480     21.8123
0.405     488     21.8121
0.41     479     21.8279
0.415     488     21.8157
0.42     481     21.8087
0.425     483     21.7791
0.43     480     21.7597
0.435     480     21.7352
0.44     484     21.7212
0.445     474     21.7229
0.45     471     21.7106
0.455     474     21.6949
0.46     504     21.6811
0.465     572     21.6776
0.47     631     21.6425
0.475     720     21.6407
0.48     784     21.6232
0.485     679     21.6389
0.49     577     21.6091
0.495     543     21.6249
0.5     500     21.6146
0.505     455     21.6144
0.51     461     21.5512
0.515     472     21.59
0.52     488     21.59
0.525     496     21.5796
0.53     496     21.5637
0.535     483     21.5621
0.54     487     21.5604
0.545     496     21.5481
0.55     488     21.5237
0.555     488     21.5117
0.56     480     21.5324
0.565     483     21.5324
0.57     496     21.5323
0.575     495     21.5358
0.58     496     21.5516
0.585     498     21.5637
0.59     492     21.5427
0.595     495     21.5637
0.6     506     21.5639
0.605     491     21.6109
0.61     504     21.5516
0.615     501     21.5691
0.62     508     21.5865
0.625     510     21.5988
0.63     508     21.5952
0.635     507     21.604
0.64     511     21.5814
0.645     504     21.6215
0.65     522     21.6373
0.655     522     21.6304
0.66     516     21.6409
0.665     513     21.6601
0.67     515     21.6811
0.675     512     21.6636
0.68     519     21.6601
0.685     519     21.6619
0.69     526     21.6409
0.695     512     21.6496
0.7     511     21.6392
0.705     511     21.6511
0.71     520     21.688
0.715     511     21.688
0.72     512     21.6688
0.725     520     21.6688
0.73     511     21.6478
0.735     512     21.6461
0.74     511     21.6409
0.745     504     21.6653
0.75     508     21.6478
0.755     507     21.6636
0.76     508     21.6811
0.765     508     21.6724
0.77     496     21.6548
0.775     495     21.6742
0.78     480     21.6809
0.785     500     21.6863
0.79     496     21.7124
0.795     500     21.7038
0.8     496     21.7143
0.805     490     21.7109
0.81     495     21.7109
0.815     491     21.7074
0.82     496     21.7161
0.825     500     21.7055
0.83     499     21.7074
0.835     499     21.7301
0.84     504     21.7441
0.845     490     21.7458
0.85     496     21.7948
0.855     495     21.7476
0.86     496     21.753
0.865     504     21.7599
0.87     508     21.7564
0.875     488     21.7579
0.88     496     21.7706
0.885     497     21.7635
0.89     499     21.7564
0.895     503     21.7635
0.9     487     21.7687
0.905     504     21.7756
0.91     510     21.7493
0.915     494     21.7076
0.92     495     21.7527
0.925     502     21.7756
0.93     503     21.7843
0.935     491     21.7877
0.94     488     21.7912
0.945     495     21.7789
0.95     499     21.7756
0.955     495     21.7668
0.96     504     21.7704
0.965     506     21.746
0.97     495     21.7651
0.975     508     21.7651
0.98     496     21.7547
0.985     495     21.7651
0.99     508     21.772
0.995     495     21.7843
1     498     21.7702
1.005     508     21.7896
1.01     515     21.8002
1.015     513     21.8106
1.02     500     21.8087
1.025     510     21.8037
1.03     510     21.7528
1.035     520     21.7948
1.04     520     21.7966
1.045     515     21.7983
1.05     512     21.8123
1.055     515     21.8002
1.06     508     21.795
1.065     510     21.8089
1.07     497     21.7966
1.075     495     21.8087
1.08     488     21.786
1.085     496     21.7737
1.09     495     21.7702
1.095     490     21.7877
1.1     484     21.772
1.105     496     21.7857
1.11     488     21.8244
1.115     495     21.8246
1.12     492     21.8281
1.125     487     21.8019
1.13     491     21.8
1.135     487     21.8104
1.14     494     21.8087
1.145     513     21.8017
1.15     548     21.7929
1.155     634     21.7825
1.16     703     21.8194
1.165     783     21.8194
1.17     735     21.8054
1.175     601     21.8087
1.18     560     21.7998
1.185     519     21.8296
1.19     480     21.8278
1.195     468     21.8384
1.2     484     21.8367
1.205     489     21.8367
1.21     496     21.8244
1.215     485     21.8315
1.22     498     21.8315
1.225     487     21.8298
1.23     489     21.8123
1.235     496     21.8263
1.24     495     21.8298
1.245     496     21.821
1.25     489     21.8054
1.255     487     21.8019
1.26     495     21.8227
1.265     502     21.8123
1.27     500     21.8263
1.275     501     21.8123
1.28     508     21.8244
1.285     504     21.8332
1.29     503     21.8279
1.295     504     21.8157
1.3     503     21.8158
1.305     511     21.8123
1.31     520     21.8123
1.315     516     21.8071
1.32     511     21.8121
1.325     520     21.8563
1.33     527     21.8365
1.335     519     21.8313
1.34     520     21.835
1.345     526     21.814
1.35     528     21.8421
1.355     519     21.8438
1.36     523     21.849
1.365     532     21.8665
1.37     532     21.863
1.375     525     21.8613
1.38     528     21.8578
1.385     525     21.8542
1.39     516     21.8455
1.395     520     21.8561
1.4     532     21.8509
1.405     516     21.8667
1.41     512     21.863
1.415     515     21.8699
1.42     512     21.8578
1.425     519     21.8455
1.43     511     21.8227
1.435     515     21.8227
1.44     511     21.8315
1.445     508     21.8471
1.45     504     21.8231
1.455     504     21.8647
1.46     496     21.8665
1.465     489     21.8542
1.47     495     21.8436
1.475     495     21.8456
1.48     495     21.8192
1.485     498     21.8438
1.49     488     21.8559
1.495     500     21.8578
1.5     496     21.8542
1.505     488     21.8525
1.51     503     21.8473
1.515     489     21.8352
1.52     500     21.835
1.525     495     21.8507
1.53     495     21.8507
1.535     506     21.863
1.54     500     21.8805
1.545     488     21.8805
1.55     496     21.8928
1.555     504     21.8371
1.56     499     21.8734
1.565     504     21.884
1.57     504     21.8665
1.575     504     21.8771
1.58     508     21.8859
1.585     504     21.8999
1.59     511     21.8788
1.595     495     21.8736
1.6     492     21.8611
1.605     500     21.8713
1.61     504     21.8594
1.615     504     21.8665
1.62     496     21.8647
1.625     504     21.8805
1.63     506     21.8857
1.635     504     21.8926
1.64     489     21.8926
1.645     504     21.8786
1.65     506     21.8717
1.655     487     21.8965
1.66     498     21.849
1.665     491     21.8333
1.67     495     21.8455
1.675     498     21.8525
1.68     504     21.8578
1.685     495     21.87
1.69     481     21.884
1.695     487     21.884
1.7     484     21.8876
1.705     500     21.8857
1.71     496     21.8734
1.715     496     21.9032
1.72     508     21.8874
1.725     506     21.8663
1.73     511     21.8874
1.735     511     21.8717
1.74     512     21.8632
1.745     503     21.8665
1.75     504     21.8315
1.755     516     21.8771
1.76     520     21.87
1.765     520     21.8703
1.77     520     21.8613
1.775     511     21.8717
1.78     512     21.8699
1.785     512     21.8542
1.79     509     21.8436
1.795     500     21.8769
1.8     496     21.8507
1.805     490     21.8822
1.81     496     21.8945
1.815     490     21.8682
1.82     479     21.9051
1.825     479     21.8965
1.83     484     21.8823
1.835     490     21.8699
1.84     480     21.8734
1.845     479     21.8699
1.85     481     21.8699
1.855     474     21.8753
1.86     472     21.8857
1.865     487     21.8805
1.87     532     21.8751
1.875     607     21.8734
1.88     680     21.8803
1.885     764     21.8891
1.89     751     21.8961
1.895     640     21.9014
1.9     562     21.8686
1.905     516     21.9122
1.91     480     21.8928
1.915     453     21.8997
1.92     471     21.8822
1.925     484     21.8892
1.93     495     21.914
1.935     483     21.8909
1.94     492     21.8928
1.945     481     21.884
1.95     479     21.8788
1.955     481     21.8648
