Time      ECG     TEB
0.005     480     12.364
0.01     358     19.3777
0.015     427     15.9139
0.02     431     13.542
0.025     464     12.8257
0.03     488     12.7993
0.035     543     13.1624
0.04     632     13.8371
0.045     700     14.692
0.05     775     15.6146
0.055     676     16.295
0.06     583     17.3074
0.065     543     17.9973
0.07     489     18.6202
0.075     464     19.117
0.08     476     19.299
0.085     495     19.3042
0.09     504     19.3182
0.095     511     19.3007
0.1     498     19.3165
0.105     496     19.3182
0.11     488     19.3165
0.115     480     19.3007
0.12     488     19.3058
0.125     480     19.2902
0.13     488     19.2955
0.135     479     19.3079
0.14     487     19.3042
0.145     498     19.3095
0.15     487     19.327
0.155     488     19.2972
0.16     488     19.2972
0.165     485     19.2867
0.17     483     19.3007
0.175     480     19.2867
0.18     496     19.2814
0.185     492     19.2901
0.19     496     19.285
0.195     506     19.2692
0.2     503     19.2675
0.205     495     19.271
0.21     504     19.2605
0.215     511     19.257
0.22     515     19.2605
0.225     511     19.2483
0.23     511     19.2692
0.235     513     19.2711
0.24     527     19.2886
0.245     519     19.285
0.25     519     19.2797
0.255     515     19.2657
0.26     515     19.2377
0.265     524     19.229
0.27     511     19.243
0.275     536     19.229
0.28     528     19.2343
0.285     528     19.2168
0.29     529     19.2255
0.295     528     19.2255
0.3     515     19.2221
0.305     511     19.2151
0.31     512     19.2203
0.315     514     19.2273
0.32     516     19.2081
0.325     511     19.2011
0.33     508     19.1993
0.335     497     19.1906
0.34     481     19.1906
0.345     495     19.1941
0.35     496     19.1975
0.355     483     19.1975
0.36     496     19.2063
0.365     495     19.2045
0.37     487     19.1941
0.375     488     19.1959
0.38     495     19.1853
0.385     488     19.1766
0.39     500     19.1662
0.395     496     19.1749
0.4     487     19.1767
0.405     494     19.1784
0.41     488     19.1993
0.415     488     19.2081
0.42     473     19.2115
0.425     480     19.2079
0.43     488     19.1975
0.435     488     19.1889
0.44     496     19.1977
0.445     496     19.1906
0.45     496     19.1924
0.455     495     19.1959
0.46     495     19.215
0.465     489     19.1975
0.47     500     19.1853
0.475     500     19.1731
0.48     499     19.1889
0.485     497     19.2082
0.49     504     19.2029
0.495     480     19.2431
0.5     495     19.2169
0.505     495     19.2308
0.51     508     19.2186
0.515     496     19.2168
0.52     500     19.2133
0.525     496     19.2239
0.53     491     19.2133
0.535     480     19.2239
0.54     500     19.2168
0.545     495     19.215
0.55     491     19.1993
0.555     493     19.1923
0.56     495     19.1992
0.565     494     19.2081
0.57     476     19.1731
0.575     494     19.2011
0.58     495     19.2133
0.585     489     19.2326
0.59     496     19.2257
0.595     494     19.2221
0.6     488     19.2186
0.605     491     19.2203
0.61     508     19.2115
0.615     504     19.2115
0.62     506     19.2186
0.625     511     19.2221
0.63     520     19.2326
0.635     492     19.2257
0.64     511     19.2222
0.645     497     19.2326
0.65     500     19.2237
0.655     504     19.2203
0.66     504     19.2343
0.665     479     19.2273
0.67     481     19.25
0.675     475     19.25
0.68     484     19.25
0.685     488     19.2483
0.69     488     19.2413
0.695     487     19.243
0.7     483     19.243
0.705     484     19.243
0.71     492     19.2657
0.715     488     19.271
0.72     456     19.25
0.725     463     19.2746
0.73     487     19.2344
0.735     524     19.2099
0.74     592     19.2255
0.745     672     19.2448
0.75     768     19.2448
0.755     752     19.2413
0.76     624     19.25
0.765     560     19.2833
0.77     527     19.2308
0.775     488     19.2343
0.78     464     19.2395
0.785     476     19.2361
0.79     480     19.2273
0.795     495     19.2605
0.8     487     19.2693
0.805     490     19.271
0.81     488     19.2587
0.815     500     19.25
0.82     492     19.243
0.825     488     19.2606
0.83     495     19.2553
0.835     489     19.285
0.84     504     19.2815
0.845     496     19.2885
0.85     504     19.2972
0.855     508     19.2919
0.86     497     19.2867
0.865     496     19.2885
0.87     487     19.2919
0.875     498     19.3041
0.88     510     19.2901
0.885     511     19.3094
0.89     503     19.2972
0.895     518     19.3007
0.9     504     19.2937
0.905     510     19.3147
0.91     511     19.2937
0.915     524     19.2937
0.92     528     19.299
0.925     510     19.3112
0.93     512     19.3287
0.935     519     19.3252
0.94     515     19.3288
0.945     527     19.3444
0.95     513     19.3287
0.955     508     19.2902
0.96     524     19.3059
0.965     522     19.2919
0.97     527     19.2989
0.975     516     19.2972
0.98     511     19.3025
0.985     520     19.2902
0.99     522     19.3025
0.995     524     19.3165
1     528     19.3147
1.005     516     19.3042
1.01     524     19.3147
1.015     519     19.3217
1.02     511     19.3093
1.025     496     19.3146
1.03     502     19.3077
1.035     508     19.306
1.04     506     19.3025
1.045     496     19.3025
1.05     483     19.3147
1.055     496     19.3008
1.06     504     19.3181
1.065     506     19.2954
1.07     495     19.3112
1.075     480     19.3079
1.08     487     19.299
1.085     496     19.2675
1.09     496     19.2851
1.095     494     19.2886
1.1     490     19.285
1.105     495     19.3042
1.11     489     19.313
1.115     495     19.3217
1.12     495     19.3181
1.125     500     19.3041
1.13     496     19.3165
1.135     496     19.3077
1.14     491     19.3165
1.145     496     19.3165
1.15     488     19.3182
1.155     483     19.3217
1.16     496     19.3181
1.165     496     19.3217
1.17     483     19.3339
1.175     488     19.3148
1.18     496     19.3113
1.185     495     19.3219
1.19     498     19.3253
1.195     496     19.334
1.2     482     19.341
1.205     496     19.3462
1.21     487     19.306
1.215     504     19.3199
1.22     500     19.3357
1.225     489     19.3427
1.23     500     19.3601
1.235     498     19.3252
1.24     496     19.3269
1.245     488     19.3199
1.25     496     19.3023
1.255     480     19.3059
1.26     489     19.3041
1.265     498     19.3199
1.27     499     19.3095
1.275     492     19.3147
1.28     487     19.3252
1.285     480     19.3427
1.29     496     19.3148
1.295     488     19.3252
1.3     496     19.3217
1.305     496     19.3147
1.31     495     19.3059
1.315     503     19.3007
1.32     484     19.3182
1.325     500     19.2797
1.33     508     19.3166
1.335     496     19.2799
1.34     508     19.313
1.345     499     19.3165
1.35     495     19.3217
1.355     520     19.2972
1.36     496     19.3199
1.365     515     19.3321
1.37     510     19.3339
1.375     510     19.3217
1.38     508     19.3305
1.385     492     19.3181
1.39     488     19.3217
1.395     486     19.3165
1.4     484     19.3287
1.405     480     19.3199
1.41     488     19.3427
1.415     486     19.3497
1.42     492     19.3357
1.425     472     19.3217
1.43     471     19.3113
1.435     488     19.313
1.44     493     19.306
1.445     487     19.313
1.45     482     19.3077
1.455     481     19.341
1.46     508     19.3217
1.465     559     19.327
1.47     639     19.3112
1.475     721     19.3041
1.48     788     19.3112
1.485     675     19.3567
1.49     575     19.3321
1.495     544     19.3252
1.5     487     19.327
1.505     480     19.3216
1.51     478     19.3216
1.515     487     19.3216
1.52     495     19.3181
1.525     488     19.3253
1.53     496     19.3181
1.535     487     19.3305
1.54     488     19.327
1.545     488     19.3479
1.55     492     19.3567
1.555     496     19.3461
1.56     492     19.3391
1.565     483     19.3532
1.57     489     19.3356
1.575     487     19.3689
1.58     496     19.3373
1.585     491     19.3496
1.59     504     19.3514
1.595     495     19.3461
1.6     506     19.3322
1.605     504     19.355
1.61     503     19.3339
1.615     510     19.3427
1.62     503     19.3462
1.625     517     19.3444
1.63     511     19.3584
1.635     512     19.3672
1.64     520     19.3446
1.645     515     19.3777
1.65     519     19.3567
1.655     512     19.3654
1.66     515     19.3374
1.665     512     19.3287
1.67     513     19.3305
1.675     527     19.3566
1.68     524     19.3392
1.685     540     19.3619
1.69     532     19.3654
1.695     519     19.3829
1.7     516     19.3636
1.705     527     19.3794
1.71     520     19.3707
1.715     520     19.3967
1.72     528     19.3601
1.725     520     19.3655
1.73     520     19.3601
1.735     520     19.3443
1.74     517     19.3759
1.745     513     19.3672
1.75     519     19.3583
1.755     510     19.3758
1.76     503     19.3583
1.765     496     19.3549
1.77     480     19.3549
1.775     487     19.381
1.78     491     19.3496
1.785     500     19.3375
1.79     487     19.3444
1.795     500     19.3602
1.8     494     19.3479
1.805     495     19.3637
1.81     508     19.3741
1.815     500     19.3829
1.82     491     19.3933
1.825     484     19.3707
1.83     475     19.3776
1.835     483     19.3584
1.84     495     19.3741
1.845     496     19.3707
1.85     488     19.3724
1.855     496     19.3812
1.86     480     19.3776
1.865     490     19.3636
1.87     488     19.3654
1.875     510     19.3724
1.88     487     19.369
1.885     498     19.3864
1.89     498     19.3952
1.895     480     19.4057
1.9     472     19.4161
1.905     476     19.4143
1.91     479     19.4021
1.915     473     19.4056
1.92     490     19.4161
1.925     464     19.4109
1.93     478     19.4459
1.935     484     19.4231
1.94     484     19.4178
1.945     471     19.4215
1.95     469     19.4231
1.955     473     19.4056
1.96     476     19.3775
1.965     484     19.4247
1.97     479     19.4144
1.975     465     19.4231
1.98     484     19.4528
1.985     479     19.4284
1.99     479     19.4336
1.995     484     19.4372
2     480     19.4301
2.005     479     19.4109
2.01     487     19.4074
2.015     495     19.4038
2.02     487     19.4004
2.025     481     19.3899
2.03     482     19.397
2.035     496     19.3953
2.04     500     19.3899
2.045     508     19.3794
2.05     503     19.3532
2.055     524     19.3812
2.06     512     19.3654
2.065     520     19.3777
2.07     523     19.3742
2.075     519     19.3462
2.08     535     19.3602
2.085     529     19.3621
2.09     527     19.3462
2.095     540     19.334
2.1     536     19.3375
2.105     528     19.3708
2.11     535     19.3586
2.115     535     19.3395
2.12     542     19.3253
2.125     540     19.2867
2.13     535     19.3079
2.135     530     19.306
2.14     530     19.2766
2.145     528     19.3009
2.15     508     19.3009
2.155     499     19.3044
2.16     508     19.3079
2.165     496     19.3079
2.17     496     19.2989
2.175     496     19.2833
2.18     495     19.3077
2.185     496     19.2817
2.19     503     19.3079
2.195     500     19.2957
2.2     504     19.2922
2.205     496     19.2904
2.21     484     19.2711
2.215     503     19.2711
2.22     523     19.2835
2.225     576     19.2711
2.23     647     19.2886
2.235     743     19.2851
2.24     799     19.2729
2.245     752     19.2957
2.25     632     19.2851
2.255     575     19.2729
2.26     547     19.264
2.265     508     19.278
2.27     516     19.2659
2.275     520     19.2659
2.28     540     19.264
2.285     535     19.2517
2.29     527     19.2677
2.295     538     19.2466
2.3     523     19.2415
2.305     528     19.2589
2.31     534     19.2327
2.315     521     19.2327
2.32     527     19.2293
2.325     528     19.2379
2.33     520     19.252
2.335     528     19.2415
2.34     511     19.2415
2.345     528     19.2153
2.35     513     19.2327
2.355     523     19.2117
2.36     523     19.2011
2.365     521     19.1959
2.37     515     19.1819
2.375     504     19.196
2.38     515     19.1837
2.385     511     19.1802
2.39     517     19.2082
2.395     503     19.1871
2.4     496     19.2047
2.405     504     19.2187
2.41     511     19.2169
2.415     510     19.2082
2.42     506     19.1785
2.425     520     19.1907
2.43     511     19.1925
2.435     512     19.2064
2.44     519     19.1889
2.445     501     19.1942
2.45     524     19.1959
2.455     520     19.1889
2.46     515     19.2115
2.465     524     19.1959
2.47     504     19.1977
2.475     515     19.196
2.48     517     19.1889
2.485     496     19.1644
2.49     499     19.1697
2.495     504     19.1907
2.5     496     19.1715
2.505     495     19.1942
2.51     500     19.2133
2.515     504     19.2133
2.52     503     19.1993
2.525     496     19.2028
2.53     489     19.1959
2.535     472     19.1889
2.54     496     19.1942
2.545     492     19.1977
2.55     481     19.1977
2.555     479     19.2046
2.56     472     19.2133
2.565     476     19.2028
2.57     480     19.2011
2.575     463     19.1995
2.58     472     19.2275
2.585     476     19.2169
2.59     472     19.2222
2.595     455     19.2379
2.6     463     19.2379
2.605     480     19.2466
2.61     464     19.2379
2.615     459     19.2308
2.62     452     19.2535
2.625     456     19.2449
2.63     456     19.25
2.635     456     19.2517
2.64     456     19.2483
2.645     463     19.2395
2.65     452     19.2377
2.655     456     19.2185
2.66     460     19.2359
2.665     463     19.2465
2.67     448     19.2431
2.675     451     19.2535
2.68     460     19.2589
2.685     470     19.2291
2.69     448     19.2448
2.695     455     19.229
2.7     463     19.229
2.705     456     19.2361
2.71     460     19.2115
2.715     452     19.2011
2.72     463     19.2011
2.725     466     19.2028
